node_id,ipa_result,mc_10k,abs_error_10k,mc_100k,abs_error_100k,mc_1m,abs_error_1m
148,0.886861482,0.8892,0.002338518,0.887181,0.000319518,0.886356,
149,0.836961938,0.8375,0.000538062,0.83686,0.000101938,0.836884,
150,0.867746615,0.867,0.000746615,0.867967,0.000220385,0.867617,
151,0.900722281,0.8999,0.000822281,0.900751,2.87E-05,0.900577,
152,0.773351759,0.7692,0.004151759,0.772833,0.000518759,0.773119,
153,0.865120076,0.8724,0.007279924,0.865175,5.49E-05,0.864844,
154,0.875620407,0.8792,0.003579593,0.875868,0.000247593,0.87529,
155,0.797793997,0.7966,0.001193997,0.797734,6.00E-05,0.797176,
156,0.875361136,0.8796,0.004238864,0.875041,0.000320136,0.874913,
157,0.821045367,0.8211,5.46E-05,0.820607,0.000438367,0.820886,
158,0.829546816,0.8274,0.002146816,0.828442,0.001104816,0.829686,
159,0.85038647,0.8502,0.00018647,0.850089,0.00029747,0.850025,
160,0.830089294,0.828,0.002089294,0.830353,0.000263706,0.830409,
161,0.790547788,0.7899,0.000647788,0.790151,0.000396788,0.79063,
162,0.836215848,0.8351,0.001115848,0.836391,0.000175152,0.83582,
163,0.836361392,0.8366,0.000238608,0.836948,0.000586608,0.83566,
164,0.914892023,0.9155,0.000607977,0.914964,7.20E-05,0.915045,
165,0.840018607,0.8343,0.005718607,0.84012,0.000101393,0.839695,
166,0.810382568,0.8116,0.001217432,0.809971,0.000411568,0.810543,
167,0.885392989,0.8931,0.007707011,0.885463,7.00E-05,0.885511,
168,0.935826236,0.9375,0.001673764,0.935491,0.000335236,0.935484,
169,0.801697754,0.8015,0.000197754,0.801299,0.000398754,0.801616,
170,0.857906451,0.8588,0.000893549,0.858007,0.000100549,0.857532,
171,0.892462583,0.8973,0.004837417,0.892413,4.96E-05,0.893209,
172,0.844007448,0.8458,0.001792552,0.843807,0.000200448,0.843908,
173,0.903681877,0.9012,0.002481877,0.903772,9.01E-05,0.903621,
174,0.470418214,0.4743,0.003881786,0.469671,0.000747214,0.470114,
175,0.323844896,0.3169,0.006944896,0.32372,0.000124896,0.324092,
176,0.47164721,0.4823,0.01065279,0.471652,4.79E-06,0.471569,
177,0.804014212,0.7951,0.008914212,0.80395,6.42E-05,0.803729,
178,0.802899278,0.8057,0.002800722,0.802409,0.000490278,0.803786,
179,0.776217675,0.78,0.003782325,0.776771,0.000553325,0.775875,
180,0.729983523,0.7307,0.000716477,0.729489,0.000494523,0.729372,
181,0.794036285,0.7973,0.003263715,0.794289,0.000252715,0.794776,
182,0.847103143,0.8459,0.001203143,0.847211,0.000107857,0.847127,
183,0.784151382,0.7849,0.000748618,0.784292,0.000140618,0.783639,
184,0.758239628,0.7601,0.001860372,0.75797,0.000269628,0.757623,
185,0.794801812,0.7964,0.001598188,0.794195,0.000606812,0.795411,
186,0.827826178,0.8285,0.000673822,0.828373,0.000546822,0.827517,
187,0.866543112,0.8646,0.001943112,0.867241,0.000697888,0.866216,
188,0.787133108,0.7842,0.002933108,0.786827,0.000306108,0.786665,
189,0.811741741,0.8069,0.004841741,0.811171,0.000570741,0.811459,
190,0.79688765,0.7981,0.00121235,0.79685,3.77E-05,0.796991,
191,0.591097625,0.5871,0.003997625,0.590897,0.000200625,0.591641,
192,0.595629452,0.5931,0.002529452,0.595872,0.000242548,0.595031,
193,0.882036066,0.8755,0.006536066,0.881568,0.000468066,0.881976,
194,0.811613773,0.8103,0.001313773,0.811472,0.000141773,0.811962,
195,0.835311196,0.8369,0.001588804,0.834831,0.000480196,0.834542,
196,0.79177978,0.7869,0.00487978,0.791813,3.32E-05,0.79248,
197,0.863091548,0.8549,0.008191548,0.862611,0.000480548,0.862581,
198,0.847082732,0.8428,0.004282732,0.847226,0.000143268,0.84677,
199,0.885575178,0.8823,0.003275178,0.885403,0.000172178,0.885327,
200,0.844819702,0.8448,1.97E-05,0.845169,0.000349298,0.845065,
201,0.80551397,0.8015,0.00401397,0.805271,0.00024297,0.804503,
202,0.797867008,0.8012,0.003332992,0.797568,0.000299008,0.79763,
203,0.325922732,0.3269,0.000977268,0.325228,0.000694732,0.325292,
204,0.210516236,0.207,0.003516236,0.210717,0.000200764,0.210561,
205,0.357643491,0.3627,0.005056509,0.357056,0.000587491,0.357801,
206,0.849027458,0.8488,0.000227458,0.848476,0.000551458,0.849003,
207,0.688218765,0.6944,0.006181235,0.687728,0.000490765,0.688631,
208,0.828890449,0.8281,0.000790449,0.829187,0.000296551,0.829246,
209,0.901531845,0.901,0.000531845,0.901263,0.000268845,0.901354,
210,0.785053443,0.7812,0.003853443,0.785442,0.000388557,0.784898,
211,0.848911787,0.8456,0.003311787,0.849076,0.000164213,0.849059,
212,0.764687158,0.761,0.003687158,0.765209,0.000521842,0.764943,
213,0.79651622,0.7914,0.00511622,0.796034,0.00048222,0.797178,
214,0.828577903,0.8283,0.000277903,0.827856,0.000721903,0.828202,
215,0.883284094,0.8828,0.000484094,0.883028,0.000256094,0.883079,
216,0.838123681,0.8391,0.000976319,0.837981,0.000142681,0.838473,
217,0.884431406,0.8848,0.000368594,0.884272,0.000159406,0.884057,
218,0.764995951,0.7685,0.003504049,0.764673,0.000322951,0.765411,
219,0.775525548,0.7808,0.005274452,0.775005,0.000520548,0.775531,
220,0.464513708,0.4657,0.001186292,0.463665,0.000848708,0.463762,
221,0.484684781,0.4814,0.003284781,0.483971,0.000713781,0.484204,
222,0.79867837,0.7996,0.00092163,0.798539,0.00013937,0.799175,
223,0.928408111,0.9341,0.005691889,0.928763,0.000354889,0.928815,
224,0.911925515,0.912,7.45E-05,0.911979,5.35E-05,0.912206,
225,0.84225138,0.8406,0.00165138,0.841875,0.00037638,0.841768,
226,0.84664579,0.8439,0.00274579,0.847019,0.00037321,0.846827,
227,0.92884457,0.9289,5.54E-05,0.928997,0.00015243,0.929032,
228,0.850621555,0.8498,0.000821555,0.850614,7.55E-06,0.850415,
229,0.881877543,0.8799,0.001977543,0.881936,5.85E-05,0.881936,
230,0.840135371,0.838,0.002135371,0.839378,0.000757371,0.839859,
231,0.891604287,0.8867,0.004904287,0.890984,0.000620287,0.891968,
232,0.210292102,0.2113,0.001007898,0.209831,0.000461102,0.209942,
233,0.161884775,0.1598,0.002084775,0.162082,0.000197225,0.161835,
234,0.226749379,0.2304,0.003650621,0.225937,0.000812379,0.22679,
235,0.943245443,0.9479,0.004654557,0.94321,3.54E-05,0.942958,
236,0.591218061,0.5863,0.004918061,0.590619,0.000599061,0.591307,
