Node,AlgoValue,MCValue(1million),Diff,MCValue(100thousand),Diff,MCValue(10thousand),Diff
905,0.9,0.900592,0.000592,0.85401,0.001705424,0.8943,0.0057
1033,0.698009608,0.697418,0.000591608,0.86219,0.001698578,0.9057,0.0057
366,0.86751,0.866919,0.000591,0.86332,0.001698175,0.9057,0.0057
558,0.689752031,0.690342,0.000589969,0.5578,0.001693383,0.8732,0.00569
482,0.560587109,0.559998,0.000589109,0.8671,0.001691507,0.8611,0.005646242
181,0.861740257,0.861152,0.000588257,0.8647,0.001691247,0.8481,0.005635578
647,0.892730649,0.892147,0.000583649,0.79524,0.001680489,0.6824,0.005617583
590,0.676782417,0.676199,0.000583417,0.8633,0.001678175,0.8558,0.005613538
621,0.690732571,0.691315,0.000582429,0.67846,0.001677583,0.9056,0.0056
342,0.693129494,0.693707,0.000577506,0.85738,0.001664576,0.9056,0.0056
1015,0.8411931,0.840617,0.0005761,0.82372,0.001664313,0.6734,0.005583027
737,0.8938269,0.893254,0.0005729,0.85033,0.001662819,0.86,0.005580244
845,0.830453326,0.831021,0.000567674,0.68981,0.001660371,0.8673,0.005559743
743,0.86751,0.866943,0.000567,0.89834,0.00166,0.8673,0.005559743
580,0.853714547,0.853149,0.000565547,0.84681,0.001658412,0.8562,0.005540257
995,0.689416656,0.68998,0.000563344,0.84705,0.001655633,0.8512,0.005540046
697,0.861740257,0.861179,0.000561257,0.85539,0.001654422,0.5622,0.005519875
683,0.855715424,0.856276,0.000560576,0.69225,0.001650647,0.8945,0.0055
347,0.7026831,0.70324,0.0005569,0.89835,0.00165,0.8612,0.005484576
126,0.697162629,0.697719,0.000556371,0.89835,0.00165,0.8588,0.005400371
72,0.556680125,0.557236,0.000555875,0.89835,0.00165,0.8946,0.0054
1025,0.698009608,0.698564,0.000554392,0.90165,0.00165,0.9054,0.0054
344,0.854419756,0.854974,0.000554244,0.6882,0.00163993,0.9054,0.0054
748,0.86751,0.866959,0.000551,0.68965,0.001630369,0.9054,0.0054
1038,0.823963841,0.823414,0.000549841,0.69236,0.001627429,0.8167,0.005355687
982,0.86751,0.868059,0.000549,0.89838,0.00162,0.8564,0.005340257
4,0.892730649,0.893278,0.000547351,0.86336,0.001619743,0.6845,0.00533993
958,0.9,0.899455,0.000545,0.69962,0.001610392,0.859,0.005332875
231,0.86751,0.866966,0.000544,0.69531,0.001605823,0.8874,0.005330649
308,0.9,0.899457,0.000543,0.69134,0.001600645,0.5646,0.005329611
857,0.82440225,0.823864,0.00053825,0.55767,0.001600389,0.7237,0.0053
438,0.9,0.899462,0.000538,0.9016,0.0016,0.8607,0.005246242
951,0.9,0.900537,0.000537,0.68991,0.001598783,0.6957,0.005242729
44,0.689752031,0.690289,0.000536969,0.86015,0.001590257,0.8623,0.00521
362,0.698009608,0.697473,0.000536608,0.89841,0.00159,0.8948,0.0052
700,0.861740257,0.861204,0.000536257,0.90159,0.00159,0.5543,0.005193383
1012,0.86751,0.866974,0.000536,0.86321,0.001588175,0.8612,0.005191247
63,0.854602137,0.855138,0.000535863,0.85213,0.001584547,0.8727,0.00519
170,0.861621825,0.862156,0.000534175,0.82238,0.001583841,0.6895,0.005160319
489,0.860694604,0.861222,0.000527396,0.68723,0.001582575,0.8408,0.005157813
538,0.694632284,0.695159,0.000526716,0.5551,0.001580125,0.8516,0.005140046
665,0.861740257,0.861214,0.000526257,0.8527,0.001578865,0.8254,0.005135504
728,0.861413538,0.860888,0.000525538,0.84574,0.001578546,0.8876,0.005130649
630,0.851530068,0.852055,0.000524932,0.86017,0.001570257,0.6801,0.00512882
1023,0.689784931,0.689261,0.000523931,0.73057,0.00157,0.8506,0.005115424
171,0.861621825,0.861099,0.000522825,0.86908,0.00157,0.9051,0.0051
281,0.86751,0.866989,0.000521,0.69848,0.001564177,0.7341,0.0051
655,0.892730649,0.892211,0.000519649,0.86595,0.00156,0.8726,0.00509
415,0.86751,0.868029,0.000519,0.86907,0.00156,0.8478,0.005083878
766,0.862509789,0.861991,0.000518789,0.90156,0.00156,0.6965,0.005029629
849,0.855715424,0.856232,0.000516576,0.86095,0.001559789,0.6844,0.005016656
407,0.9,0.899485,0.000515,0.85176,0.001550021,0.6838,0.005012575
289,0.9,0.899486,0.000514,0.90155,0.00155,0.8725,0.00499
112,0.559493383,0.55898,0.000513383,0.69129,0.001537969,0.8988,0.0049731
908,0.9,0.900513,0.000513,0.82385,0.001535953,0.6957,0.004967429
213,0.861413538,0.861926,0.000512462,0.68566,0.001532634,0.8667,0.004959743
353,0.848705633,0.848194,0.000511633,0.86192,0.001530094,0.7347,0.004922016
824,0.9,0.900511,0.000511,0.90153,0.00153,0.8508,0.004915424
831,0.853735578,0.854241,0.000505422,0.79508,0.001520489,0.6839,0.004912575
35,0.559270389,0.558765,0.000505389,0.69314,0.001520319,0.831,0.004908223
769,0.9,0.900505,0.000505,0.89848,0.00152,0.8976,0.004869351
158,0.861621825,0.861117,0.000504825,0.90152,0.00152,0.6701,0.004811064
481,0.689416656,0.689921,0.000504344,0.68996,0.001512935,0.8952,0.0048
117,0.68983993,0.689337,0.00050293,0.69266,0.001512829,0.8467,0.004794886
449,0.835903909,0.836405,0.000501091,0.66706,0.001502622,0.8535,0.004794367
640,0.697162629,0.696662,0.000500629,0.86401,0.001500211,0.8723,0.00479
511,0.698009608,0.69851,0.000500392,0.85252,0.00150009,0.8664,0.004778175
