abs_error_1m,ipa_result,mc_1m,mc_100k,node_id,mc_10k,abs_error_10k,abs_error_100k
0.0004998661395539394,0.4302131338604461,0.430713,0.43048,40,0.4288,0.0014131338604460586,0.0002668661395539007
0.00039328319359455133,0.9049167168064054,0.90531,0.90547,41,0.9089,0.0039832831935946444,0.0005532831935946003
1.844962244590409e-6,0.2275941550377554,0.227596,0.22792,42,0.2322,0.004605844962244587,0.0003258449622446091
0.00036965101191802074,0.16785865101191802,0.167489,0.1682,43,0.1729,0.005041348988081978,0.0003413489880819687
0.0006326402162742939,0.4417303597837257,0.442363,0.44168,44,0.4455,0.003769640216274295,5.035978372569527e-5
0.0004820415813396872,0.37806495841866034,0.378547,0.37689,45,0.3823,0.004235041581339638,0.0011749584186603323
0.0004404096016607517,0.31056159039833925,0.311002,0.31079,46,0.3123,0.001738409601660773,0.00022840960166076174
0.00029784535588461836,0.3217961546441154,0.322094,0.32126,47,0.3253,0.003503845355884605,0.000536154644115383
0.0004456823166654189,0.2516273176833346,0.252073,0.2512,48,0.2545,0.0028726823166654314,0.00042731768333459375
0.0005560197067822348,0.17381898029321777,0.174375,0.17364,49,0.1784,0.004581019706782236,0.00017898029321777864
0.0004764602239389071,0.1381785397760611,0.138655,0.1373,50,0.1423,0.004121460223938916,0.000878539776061088
0.00014101226698012836,0.18369598773301987,0.183837,0.18388,51,0.1845,0.0008040122669801253,0.00018401226698011586
8.36424508155742e-5,0.21136564245081557,0.211282,0.21019,52,0.2128,0.0014343575491844174,0.0011756424508155838
0.0006151540351369833,0.22782784596486302,0.228443,0.22647,53,0.2274,0.00042784596486303283,0.0013578459648630192
0.00041236427633212225,0.17770863572366788,0.178121,0.176,54,0.1787,0.0009913642763321184,0.0017086357236678895
0.00022002604009885296,0.14626297395990115,0.146483,0.14464,55,0.149,0.0027370260400988444,0.0016229739599011583
0.0002888895929190616,0.23510011040708093,0.235389,0.23404,56,0.2387,0.00359988959291907,0.0010601104070809275
0.00037220139226867843,0.2224997986077313,0.222872,0.22128,57,0.2245,0.0020002013922686968,0.0012197986077313039
