Node,AlgoValue,ComparisonValue,AbsDiff_calc,PercError_calc
263,0.254186583,0.254186583,0,0
264,0.313810596,0.313810596,0,0
265,0.254186583,0.254186583,0,0
266,0.205891132,0.205891132,0,0
267,0.166771817,0.166771817,0,0
268,0.216691322,0.216691322,0,0
269,0.135085172,0.135085172,0,0
270,0.135085172,0.135085172,0,0
271,0.109418989,0.109418989,0,0
272,0.088629381,0.088629381,0,0
273,0.071789799,0.071789799,0,0
274,0.058149737,0.058149737,0,0
275,0.047101287,0.047101287,0,0
276,0.038152042,0.038152042,0,0
277,0.030903154,0.030903154,0,0
278,0.025031555,0.025031555,0,0
279,0.109418989,0.109418989,0,0
280,0.109418989,0.109418989,0,0
281,0.135085172,0.135085172,0,0
282,0.166771817,0.166771817,0,0
283,0.205891132,0.205891132,0,0
284,0.254186583,0.254186583,0,0
285,0.313810596,0.313810596,0,0
286,0.313810596,0.313810596,0,0
287,0.469520089,0.469520089,0,0
288,0.387420489,0.387420489,0,0
289,0.4782969,0.4782969,0,0
290,0.387420489,0.387420489,0,0
291,0.313810596,0.313810596,0,0
292,0.235833505,0.235833505,0,0
293,0.166771817,0.166771817,0,0
294,0.29020561,0.29020561,0,0
295,0.261687629,0.261687629,0,0
296,0.205891132,0.205891132,0,0
297,0.384973634,0.384973634,0,0
298,0.339229254,0.339229254,0,0
299,0.171693253,0.171693253,0,0
300,0.139071535,0.139071535,0,0
301,0.197840317,0.197840317,0,0
302,0.313810596,0.313810596,0,0
303,0.306639466,0.306639466,0,0
304,0.323631667,0.323631667,0,0
305,0.428172842,0.428172842,0,0
306,0.254186583,0.254186583,0,0
