Node,PboxMean,MCValue,Diff
96,0.531441,0.530875,0.0005660000000000664
64,0.27706337528786107,0.277627,0.0005636247121389437
233,0.531441,0.530878,0.0005630000000000912
66,0.34205354973809987,0.342613,0.0005594502619001296
242,0.4782969000000003,0.478852,0.0005550999999996975
70,0.5213436209999999,0.521898,0.0005543790000001048
190,0.7290000000000005,0.729554,0.0005539999999994993
2,0.18530201888518413,0.184751,0.0005510188851841347
113,0.46920925889999987,0.469758,0.0005487411000001385
188,0.6561000000000005,0.656646,0.0005459999999994913
53,0.387420489,0.387966,0.0005455109999999985
192,0.8277071402619004,0.828239,0.0005318597380995493
141,0.34867844010000015,0.34921,0.0005315598999998672
10,0.4304672100000002,0.429937,0.0005302100000001975
187,0.5904900000000001,0.59102,0.0005299999999999194
199,0.3360911484123902,0.335566,0.0005251484123902084
153,0.17861261600342906,0.178092,0.0005206160034290641
155,0.14467621896277755,0.144156,0.0005202189627775411
282,0.4304672100000002,0.429951,0.0005162100000001835
302,0.5904900000000001,0.591004,0.0005139999999999034
17,0.9000000000000002,0.899489,0.0005110000000002612
306,0.531441,0.531951,0.0005099999999998994
47,0.34867844010000015,0.349184,0.0005055598999998412
162,0.521343621,0.521849,0.000505379000000028
198,0.30248203357115117,0.301978,0.0005040335711511412
3,0.20589113209464913,0.205388,0.0005031320946491391
55,0.31381059609000017,0.31431,0.0004994039099998071
14,0.6561000000000005,0.655601,0.0004990000000004713
79,0.6561000000000005,0.656597,0.0004969999999995256
23,0.5904900000000001,0.589994,0.000496000000000052
204,0.7631913605066134,0.763683,0.0004916394933865975
108,0.531441,0.531931,0.0004899999999999904
13,0.5904900000000001,0.590006,0.00048400000000003995
45,0.4304672100000002,0.43095,0.00048278999999978867
101,0.6748484673736346,0.67533,0.0004815326263654107
287,0.8081204039100005,0.8086,0.0004795960899994789
67,0.3800594997090002,0.380538,0.00047850029099977265
216,0.34867844010000015,0.349153,0.00047455989999983794
181,0.6436341000000002,0.644108,0.00047389999999980503
174,0.531441,0.531914,0.0004729999999999457
1,0.16677181699666568,0.166301,0.00047081699666567944
48,0.31381059609000017,0.314281,0.00047040390999980586
119,0.42228833301000007,0.422755,0.00046666698999991985
172,0.531441,0.531905,0.00046399999999990893
54,0.34867844010000015,0.349141,0.00046255989999982594
98,0.6436341000000002,0.643172,0.00046210000000024287
209,0.7290000000000005,0.729456,0.00045599999999945684
297,0.7603808622409255,0.759925,0.00045586224092553085
229,0.34867844010000015,0.348226,0.0004524401000001732
97,0.5904900000000001,0.59004,0.00045000000000006146
28,0.41492734371900014,0.415376,0.00044865628099988175
220,0.2541865828329001,0.254622,0.0004354171670999385
81,0.531441,0.531873,0.00043199999999998795
68,0.42228833301000007,0.422716,0.0004276669899999086
27,0.46103038191000045,0.461458,0.00042761808999952633
9,0.387420489,0.386995,0.0004254890000000011
290,0.6561000000000005,0.656525,0.0004249999999995646
65,0.30784819476429,0.308273,0.00042480523571003515
206,0.6943246838607794,0.693904,0.000420683860779425
49,0.28242953648100005,0.282849,0.0004194635189999629
144,0.4782969000000003,0.478712,0.000415099999999724
39,0.31381059609000017,0.314223,0.00041240390999980336
270,0.387420489,0.387829,0.0004085110000000003
38,0.28242953648100005,0.282838,0.00040846351899992417
154,0.16075135440308613,0.160345,0.00040635440308614545
288,0.6561000000000005,0.656503,0.0004029999999994871
225,0.28242953648100005,0.282027,0.0004025364810000265
189,0.7290000000000005,0.729402,0.00040199999999945835
56,0.28242953648100005,0.28283,0.0004004635189999717
241,0.6794786735190007,0.679879,0.00040032648099930235
78,0.7290000000000005,0.729397,0.0003969999999994256
219,0.28242953648100005,0.282819,0.0003894635189999329
35,0.1984584622260324,0.198069,0.00038946222603239433
237,0.9000000000000002,0.900382,0.0003819999999997714
156,0.2541865828329001,0.25381,0.0003765828329000964
140,0.31381059609000017,0.31418,0.0003694039099998436
164,0.8479904005629032,0.848356,0.00036559943709679743
175,0.30784819476429,0.307483,0.00036519476428997777
103,0.4782969000000003,0.478662,0.000365099999999674
37,0.2541865828329001,0.254546,0.000359417167099918
303,0.6804153701148161,0.680765,0.0003496298851838331
152,0.1984584622260324,0.198112,0.0003464622260323791
63,0.22876792454961006,0.228424,0.0003439245496100751
71,0.5792706899999999,0.579609,0.00033831000000017486
271,0.34867844010000015,0.349015,0.00033655989999986646
232,0.4782969000000003,0.477961,0.00033590000000027764
252,0.2541865828329001,0.254522,0.0003354171670999495
283,0.4782969000000003,0.477962,0.0003349000000003044
139,0.28242953648100005,0.282761,0.00033146351899993043
128,0.34205354973809987,0.342383,0.0003294502619001216
231,0.4304672100000002,0.430138,0.00032921000000019074
46,0.387420489,0.387749,0.0003285110000000313
185,0.6561000000000005,0.655773,0.0003270000000004103
148,0.2541865828329001,0.253863,0.00032358283290007117
184,0.7290000000000005,0.72868,0.0003200000000005421
120,0.4692092589000001,0.469528,0.0003187410999999085
248,0.4782969000000003,0.478615,0.0003180999999997103
127,0.3800594997090002,0.380375,0.0003155002909998039
217,0.31381059609000017,0.314126,0.00031540390999984513
269,0.387420489,0.387733,0.0003125110000000153
50,0.2541865828329001,0.254496,0.0003094171670999235
193,0.6314050521000002,0.631097,0.0003080521000001779
227,0.28242953648100005,0.282126,0.00030353648100006625
291,0.5904900000000001,0.59079,0.00029999999999996696
236,0.8100000000000004,0.8103,0.0002999999999996339
95,0.4782969000000003,0.477997,0.00029990000000029715
60,0.31381059609000017,0.313512,0.0002985960900001583
