Node,AlgoResults,McResults,AbsDiff,PercentageDiff
288,0.6561,0.6564,0.0003,0.05
170,0.7805,0.7808,0.000296,0.04
45,0.4305,0.4303,0.000167,0.04
305,0.4783,0.4785,0.000203,0.04
15,0.729,0.7287,0.0003,0.04
76,0.9,0.8996,0.0004,0.04
120,0.4305,0.4303,0.000167,0.04
169,0.7505,0.7508,0.000287,0.04
181,0.5905,0.5907,0.00021,0.04
206,0.745,0.7453,0.000312,0.04
207,0.4783,0.4781,0.000197,0.04
213,0.4783,0.4785,0.000203,0.04
269,0.6081,0.6078,0.000269,0.04
10,0.4305,0.4303,0.000167,0.04
182,0.5905,0.5907,0.00021,0.04
294,0.7809,0.7812,0.000294,0.04
1,0.1668,0.1667,7.2e-5,0.04
138,0.2542,0.2541,8.7e-5,0.03
252,0.3583,0.3584,0.000121,0.03
179,0.5471,0.5473,0.000176,0.03
193,0.5314,0.5316,0.000159,0.03
267,0.6756,0.6754,0.000232,0.03
297,0.5314,0.5316,0.000159,0.03
9,0.3874,0.3873,0.00012,0.03
24,0.6324,0.6322,0.000215,0.03
64,0.2542,0.2541,8.7e-5,0.03
95,0.6742,0.6744,0.000236,0.03
110,0.5123,0.5124,0.000144,0.03
165,0.5905,0.5903,0.00019,0.03
204,0.5314,0.5316,0.000159,0.03
205,0.5314,0.5313,0.000141,0.03
212,0.5314,0.5313,0.000141,0.03
264,0.5905,0.5903,0.00019,0.03
270,0.6081,0.6079,0.000169,0.03
281,0.3874,0.3873,0.00012,0.03
284,0.5314,0.5316,0.000159,0.03
166,0.8278,0.828,0.000235,0.03
234,0.6561,0.6563,0.0002,0.03
254,0.4423,0.4422,0.000119,0.03
49,0.2824,0.2825,7.0e-5,0.02
98,0.5905,0.5906,0.00011,0.02
266,0.4783,0.4784,0.000103,0.02
279,0.3487,0.3486,7.8e-5,0.02
283,0.4783,0.4782,9.7e-5,0.02
11,0.4783,0.4782,9.7e-5,0.02
17,0.9,0.8998,0.0002,0.02
23,0.5905,0.5904,9.0e-5,0.02
187,0.5905,0.5906,0.00011,0.02
243,0.4783,0.4784,0.000103,0.02
259,0.4783,0.4782,9.7e-5,0.02
261,0.6845,0.6847,0.000158,0.02
262,0.6756,0.6755,0.000132,0.02
268,0.6081,0.6082,0.000131,0.02
292,0.7399,0.74,0.000141,0.02
298,0.5905,0.5906,0.00011,0.02
93,0.7219,0.7218,0.000134,0.02
145,0.6561,0.6562,0.0001,0.02
260,0.4305,0.4304,6.7e-5,0.02
273,0.4433,0.4432,8.2e-5,0.02
286,0.5905,0.5904,9.0e-5,0.02
94,0.6067,0.6067,4.8e-5,0.01
97,0.8323,0.8324,9.8e-5,0.01
257,0.7696,0.7697,0.000108,0.01
272,0.4925,0.4926,6.4e-5,0.01
16,0.81,0.8099,0.0001,0.01
96,0.7491,0.749,7.1e-5,0.01
108,0.5314,0.5315,5.9e-5,0.01
255,0.4915,0.4914,6.6e-5,0.01
299,0.461,0.461,3.0e-5,0.01
306,0.5314,0.5314,4.1e-5,0.01
44,0.5314,0.5315,5.9e-5,0.01
54,0.3487,0.3487,2.2e-5,0.01
57,0.4305,0.4305,3.3e-5,0.01
99,0.5314,0.5314,4.1e-5,0.01
2,0.1853,0.1853,2.0e-6,0.0
33,0.245,0.245,1.0e-5,0.0
34,0.2205,0.2205,9.0e-6,0.0
180,0.6079,0.6079,1.5e-5,0.0
14,0.6561,0.6561,0.0,0.0
18,1.0,1.0,0.0,0.0
21,0.729,0.729,0.0,0.0
109,0.5692,0.5692,2.7e-5,0.0
168,0.6561,0.6561,0.0,0.0
183,0.729,0.729,0.0,0.0
188,0.6561,0.6561,0.0,0.0
190,0.729,0.729,0.0,0.0
238,0.9,0.9,0.0,0.0
