Node,AlgoValue,ExactValue,AbsDiff,PercError
122,0.30784819476429004,0.30784819476429015,1.1102230246251565e-16,3.606397709998657e-14
127,0.38005949970900005,0.38005949970900016,1.1102230246251565e-16,2.9211821450989125e-14
128,0.34205354973810004,0.34205354973810015,1.1102230246251565e-16,3.245757938998791e-14
162,0.5213436210000001,0.5213436210000002,1.1102230246251565e-16,2.1295417837771073e-14
164,0.8479904005629035,0.8479904005629036,1.1102230246251565e-16,1.3092400856049556e-14
166,0.63317805087861,0.6331780508786101,1.1102230246251565e-16,1.753413629996475e-14
167,0.7035311676429,0.7035311676429001,1.1102230246251565e-16,1.5780722669968276e-14
171,0.8197249018190143,0.8197249018190141,1.1102230246251565e-16,1.3543848944463092e-14
175,0.30784819476429004,0.30784819476429015,1.1102230246251565e-16,3.606397709998657e-14
176,0.34205354973810004,0.34205354973810015,1.1102230246251565e-16,3.245757938998791e-14
177,0.38005949970900005,0.38005949970900016,1.1102230246251565e-16,2.9211821450989125e-14
178,0.42228833301,0.4222883330100001,1.1102230246251565e-16,2.6290639305890215e-14
213,0.6545775271671003,0.6545775271671002,1.1102230246251565e-16,1.6960909572163476e-14
218,0.37955705407681606,0.37955705407681617,1.1102230246251565e-16,2.925049113697846e-14
241,0.6794786735190003,0.6794786735190002,1.1102230246251565e-16,1.6339335845161172e-14
258,0.654284546526271,0.6542845465262711,1.1102230246251565e-16,1.6968504460628864e-14
262,0.5890155583388491,0.589015558338849,1.1102230246251565e-16,1.8848789457382503e-14
292,0.589538959114816,0.5895389591148161,1.1102230246251565e-16,1.883205524350994e-14
27,0.4610303819100002,0.4610303819100001,5.551115123125783e-17,1.2040670942613585e-14
29,0.37343460934710015,0.3734346093471002,5.551115123125783e-17,1.48650258550785e-14
30,0.33609114841239013,0.3360911484123902,5.551115123125783e-17,1.651669539453166e-14
31,0.3024820335711511,0.30248203357115117,5.551115123125783e-17,1.835188377170185e-14
64,0.27706337528786107,0.2770633752878611,5.551115123125783e-17,2.0035542833325874e-14
111,0.4610303819100002,0.4610303819100001,5.551115123125783e-17,1.2040670942613585e-14
