DAG_Node_ID,Original_Node_ID,Facility_Name,Node_Type,Latitude,Longitude,Mission_Role
134,179,"Inverurie Hospital",H,57.27678856,-2.378035362,network
126,171,"Netherton",H,55.89505605,-4.329415592,network
19,69,"Sumburgh Airport",A,59.87889862,-1.295560002,network
30,85,"Royal Alexandra Hospital",H,55.83528137,-4.436562056,network
74,119,"Thornhill Hospital",H,55.23567518,-3.765209858,network
171,216,"Mull and Iona Community Hospital",H,56.47959836,-5.714768434,network
81,126,"Lismore",H,54.99464948,-3.251087963,network
63,108,"Peebles Psychogeriatric Day Hospital",H,55.65155396,-3.181355872,network
111,156,"Leverndale Hospital",H,55.83539782,-4.365218663,network
6,2,"Glasgow Prestwick Airport",A,55.502003,-4.587019,SOURCE
3,10,"Dumfries & Galloway Royal Infirmary",H,55.0588462,-3.657698883,SOURCE
79,124,"Innistaigh",H,54.89862985,-5.021175739,network
216,261,"Kings Cross Hospital",H,56.47780102,-2.98408773,network
99,144,"Inverclyde Royal Hospital",H,55.94438602,-4.808629296,network
228,273,"Scone Day Hospital",H,56.42084682,-3.407684934,network
212,257,"Bathgate House Day Hospital",H,55.90194772,-3.641937275,network
155,200,"Dunbar Hospital",H,58.58451762,-3.538168965,network
2,20,"Queen Elizabeth University Hospital",H,55.86270871,-4.336845035,SOURCE
54,81,"Benbecula Airport",A,57.48109818,-7.362780094,DESTINATION
142,187,"Dr Gray's Hospital",H,57.64589268,-3.330468391,network
168,213,"Mid-Argyll Community Hospital and Integrated Care Centre",H,56.04210885,-5.417305234,network
144,189,"Turner Memorial Hospital",H,57.54218558,-2.95407633,network
182,227,"Kirklands Hospital",H,55.81192327,-4.063556454,network
64,109,"Galashiels Psychogeriatric Day Hospital",H,55.61782646,-2.807748979,network
116,161,"Gartnavel Royal Hospital",H,55.88260299,-4.320097735,network
204,249,"Bonnyrigg Day Centre",H,55.87270787,-3.061243781,network
196,241,"Astley Ainslie Hospital",H,55.92957056,-3.196028125,network
59,88,"North Ronaldsay Airport",new,59.36923404,-2.431068036,DESTINATION
164,209,"Portree Hospital",H,57.41055233,-6.191859131,network
191,236,"Corstorphine Hospital",H,55.94301171,-3.269943375,network
75,120,"Annan Hospital",H,54.98815386,-3.245571404,network
215,260,"East Lothian Community Hospital",H,55.95715125,-2.795514921,network
56,83,"new",new,57.76643301,-7.027993699,DESTINATION
145,190,"Rehabilitation Hospital",H,57.1362389,-2.101784826,network
156,201,"Caithness General Hospital",H,58.44171715,-3.094184124,network
40,99,"East Ayrshire Community Hospital",H,55.45251122,-4.271668605,network
76,121,"Galloway Community Hospital",H,54.89921902,-5.022108907,network
236,281,"Crieff Community Hospital",H,56.37008261,-3.840705549,network
129,174,"City Hospital",H,57.15380167,-2.087055187,network
224,269,"St Margaret's Hospital",H,56.29387341,-3.717919065,network
78,123,"Wellgreen Cottages",H,55.04944873,-3.598226271,network
223,268,"Perth Royal Infirmary",H,56.39645576,-3.451555364,network
13,32,"Campbeltown Airport",A,55.43719864,-5.686389923,network
152,197,"Victoria Hospital Annexe",H,55.82705723,-5.053344218,network
188,233,"University Hospital Wishaw",H,55.77374293,-3.94042798,network
151,196,"Victoria Hospital",H,56.0923321,-5.075106928,network
217,262,"Royal Victoria Hospital",H,56.46396897,-3.011053694,network
165,210,"Ross Memorial Hospital",H,57.59470653,-4.416007475,network
106,151,"Parkview Resource Centre",H,55.85020447,-4.172620246,network
194,239,"Herdmanflat Hospital",H,55.96029975,-2.786592496,network
26,63,"Balfour Hospital",H,58.97412018,-2.963844233,DESTINATION
146,191,"Kincardine Community Hospital",H,56.96931858,-2.229214779,network
32,91,"Ayrshire Central Hospital",H,55.63461331,-4.676906809,network
16,62,"Edinburgh Airport",A,55.950145,-3.372288,network
160,205,"Nairn Town and County Hospital",H,57.57838727,-3.87115279,network
199,244,"Liberton Hospital",H,55.90900053,-3.152645161,network
105,150,"Acorn Street Day Hospital",H,55.8467593,-4.223569292,network
77,122,"Acorn House",H,55.05366159,-3.604578697,network
154,199,"Campbeltown Hospital",H,55.42069171,-5.603184142,network
128,173,"Woodend General Hospital",H,57.14749402,-2.169962908,network
211,256,"Ferryfield House",H,55.97207592,-3.229021222,network
143,188,"Stephen Cottage Hospital",H,57.4459224,-3.122858852,network
232,277,"Montrose Royal Infirmary",H,56.70789536,-2.472990997,network
39,98,"Three Towns Resource Centre",H,55.6396381,-4.770025661,network
190,235,"Belhaven Hospital",H,55.99591579,-2.53617233,network
159,204,"RNI Community Hospital",H,57.47090254,-4.230218662,network
28,76,"Ninewells Hospital",H,56.46180151,-2.989936931,DESTINATION
15,34,"Oban  Airport",A,56.46678798,-5.397557268,network
198,243,"Edinburgh Dental Institute",H,55.94414689,-3.196941762,network
149,194,"Cowal Community Hospital",H,55.95942659,-4.926704391,network
122,167,"Eastwood Resource Centre",H,55.79025942,-4.285694635,network
58,87,"Perth Airport",A,56.43578293,-3.370727821,DESTINATION
87,132,"Stratheden Hospital",H,56.30450447,-3.052752996,network
95,140,"Bungalows/Red Lodge",H,56.0202128,-3.837346211,network
157,202,"Wick Town and County Hospital",H,58.43309857,-3.096742837,network
203,248,"Glencorse Day Centre",H,55.84777295,-3.189665092,network
124,169,"Woodlands Resource Centre",H,55.94053104,-4.146326284,network
135,180,"Peterhead Community Hospital",H,57.50258644,-1.791941805,network
210,255,"Inchkeith House",H,55.96819211,-3.171982196,network
115,160,"Shawmill Resource Centre",H,55.8265766,-4.29518636,network
244,289,"Uist & Barra Hospital",H,57.47272244,-7.377046305,network
49,49,"new",new,58.56491488,-4.889286107,network
61,106,"Hay Lodge Hospital",H,55.6520425,-3.196787966,DESTINATION
35,94,"Ailsa Hospital",H,55.43418885,-4.591883282,network
180,225,"Roadmeetings Hospital",H,55.72963089,-3.811487007,network
43,102,"Galavale House",H,55.60729837,-2.787751806,network
83,128,"Cameron Hospital",H,56.18651381,-3.05648161,network
214,259,"Midlothian Community Hospital",H,55.88029515,-3.088724814,network
51,70,"Fair Isle Airport",new,59.53623128,-1.626983954,DESTINATION
8,21,"Glasgow International Airport",A,55.871899,-4.43306,network
184,229,"University Hospital Hairmyres",H,55.75998173,-4.220715026,network
118,163,"Beatson West of Scotland Cancer Centre",H,55.88329566,-4.31147132,network
86,131,"Randolph Wemyss Memorial Hospital",H,56.17721134,-3.025761579,network
147,192,"375 Great Western Lodge",H,57.13417605,-2.127455288,network
176,221,"Hartwoodhill Hospital",H,55.81003107,-3.846805722,network
50,53,"new",new,58.17604371,-4.092198507,network
48,47,"new",new,57.75748237,-4.824516777,network
130,175,"Woolmanhill Hospital",H,57.14925507,-2.103969374,network
241,286,"Bluebell Intermediary Care Unit",H,56.45943886,-3.048319896,network
133,178,"Roxburghe House",H,57.15721439,-2.124360202,network
37,96,"Biggart Hospital",H,55.49259795,-4.603636983,network
104,149,"Lightburn Hospital",H,55.86069748,-4.16425599,network
110,155,"Springpark Resource Centre/Day Hospital",H,55.88624039,-4.251048065,network
136,181,"Fraserburgh Hospital",H,57.68787852,-2.017914396,network
18,65,"Eday Airport",A,59.19060135,-2.772219896,network
